fill_rate,final_pnl,latency_seconds,max_abs_inventory,max_drawdown,mean_abs_inventory,seed,strategy,volatility_ticks
0.13,0.46000000000640284,0.0,5.0,0.555000000007567,2.7512437810945274,0.0,naive_symmetric,2.0
0.105,0.3500000000203727,0.0,2.0,0.19999999999708962,1.4179104477611941,0.0,inventory_skew,2.0
0.05,0.35999999998603016,0.0,1.0,0.09999999999126885,0.6915422885572139,0.0,avellaneda_stoikov,2.0
0.08,0.3100000000267755,0.0,2.0,0.19999999999708962,1.3233830845771144,0.0,microstructure_adaptive,2.0
0.11,0.3799999999901047,0.0,3.0,0.19000000001688022,1.3134328358208955,1.0,naive_symmetric,2.0
0.11,0.4399999999732245,0.0,3.0,0.180000000007567,1.3134328358208955,1.0,inventory_skew,2.0
0.05,0.25,0.0,2.0,0.2400000000052387,1.2487562189054726,1.0,avellaneda_stoikov,2.0
0.1,0.4999999999854481,0.0,3.0,0.180000000007567,1.5621890547263682,1.0,microstructure_adaptive,2.0
0.13,0.5099999999511056,0.0,2.0,0.09500000000116415,0.8507462686567164,2.0,naive_symmetric,2.0
0.115,0.35999999998603016,0.0,3.0,0.17499999998835847,1.4975124378109452,2.0,inventory_skew,2.0
0.055,0.319999999992433,0.0,2.0,0.029999999998835847,0.32338308457711445,2.0,avellaneda_stoikov,2.0
0.12,0.6500000000087311,0.0,3.0,0.04000000000814907,0.736318407960199,2.0,microstructure_adaptive,2.0
0.135,0.39999999999417923,0.0,4.0,0.08999999999650754,1.3582089552238805,3.0,naive_symmetric,2.0
0.115,0.42999999997846317,0.0,3.0,0.10499999999592546,1.3980099502487562,3.0,inventory_skew,2.0
0.055,0.34000000001105946,0.0,3.0,0.08999999999650754,1.144278606965174,3.0,avellaneda_stoikov,2.0
0.105,0.3999999999796273,0.0,4.0,0.17999999999301508,2.009950248756219,3.0,microstructure_adaptive,2.0
0.135,0.03999999996449333,0.0,7.0,0.42499999998835847,3.9651741293532337,4.0,naive_symmetric,2.0
0.11,0.27999999998428393,0.0,2.0,0.07999999998719431,1.0796019900497513,4.0,inventory_skew,2.0
0.065,0.29999999998835847,0.0,3.0,0.08999999999650754,1.2935323383084578,4.0,avellaneda_stoikov,2.0
0.085,0.209999999977299,0.0,3.0,0.09500000000116415,1.2189054726368158,4.0,microstructure_adaptive,2.0
0.12,0.08000000001629815,0.0,7.0,0.17999999999301508,3.144278606965174,5.0,naive_symmetric,2.0
0.105,0.27000000003317837,0.0,4.0,0.11999999999534339,1.4776119402985075,5.0,inventory_skew,2.0
0.05,0.33000000000174623,0.0,2.0,0.04000000000814907,0.6517412935323383,5.0,avellaneda_stoikov,2.0
0.09,0.3600000000005821,0.0,3.0,0.09000000001105946,1.0348258706467661,5.0,microstructure_adaptive,2.0
0.125,-0.2300000000250293,0.0,5.0,0.39500000000407454,2.2039800995024876,6.0,naive_symmetric,2.0
0.1,-0.05999999996856786,0.0,3.0,0.28999999999359716,1.2686567164179106,6.0,inventory_skew,2.0
0.05,0.04999999998835847,0.0,2.0,0.1849999999976717,0.6268656716417911,6.0,avellaneda_stoikov,2.0
0.095,-0.03999999997904524,0.0,3.0,0.28999999999359716,0.9800995024875622,6.0,microstructure_adaptive,2.0
0.135,0.3899999999994179,0.0,3.0,0.1300000000046566,1.2985074626865671,7.0,naive_symmetric,2.0
0.125,0.3799999999755528,0.0,2.0,0.059999999997671694,0.9253731343283582,7.0,inventory_skew,2.0
0.04,0.15999999998894054,0.0,2.0,0.10000000000582077,0.6368159203980099,7.0,avellaneda_stoikov,2.0
0.105,0.36999999996623956,0.0,3.0,0.1200000000098953,1.0348258706467661,7.0,microstructure_adaptive,2.0
0.16,0.5000000000291038,0.0,4.0,0.16000000000349246,1.5820895522388059,8.0,naive_symmetric,2.0
